[2021-01-16 17:04:12.418] <GnuGo>    (in) : name
[2021-01-16 17:04:12.431] <GnuGo>    (in) : version
[2021-01-16 17:04:12.432] <GnuGo>    (in) : protocol_version
[2021-01-16 17:04:12.435] <GnuGo>    (in) : list_commands
[2021-01-16 17:04:12.437] <GnuGo>  (meta) : Engine Started
[2021-01-16 17:04:12.605] <GnuGo>   (out) : = GNU Go
[2021-01-16 17:04:12.610] <GnuGo>   (out) : 
[2021-01-16 17:04:12.611] <GnuGo>   (out) : = 3.7.11
[2021-01-16 17:04:12.612] <GnuGo>   (out) : 
[2021-01-16 17:04:12.613] <GnuGo>   (out) : = 2
[2021-01-16 17:04:12.614] <GnuGo>   (out) : 
[2021-01-16 17:04:12.615] <GnuGo>   (out) : = aa_confirm_safety
[2021-01-16 17:04:12.616] <GnuGo>   (out) : accurate_approxlib
[2021-01-16 17:04:12.617] <GnuGo>   (out) : accuratelib
[2021-01-16 17:04:12.617] <GnuGo>   (out) : advance_random_seed
[2021-01-16 17:04:12.618] <GnuGo>   (out) : all_legal
[2021-01-16 17:04:12.618] <GnuGo>   (out) : all_move_values
[2021-01-16 17:04:12.620] <GnuGo>   (out) : analyze_eyegraph
[2021-01-16 17:04:12.620] <GnuGo>   (out) : analyze_semeai
[2021-01-16 17:04:12.622] <GnuGo>   (out) : analyze_semeai_after_move
[2021-01-16 17:04:12.624] <GnuGo>   (out) : attack
[2021-01-16 17:04:12.625] <GnuGo>   (out) : attack_either
[2021-01-16 17:04:12.625] <GnuGo>   (out) : black
[2021-01-16 17:04:12.626] <GnuGo>   (out) : block_off
[2021-01-16 17:04:12.627] <GnuGo>   (out) : boardsize
[2021-01-16 17:04:12.630] <GnuGo>   (out) : break_in
[2021-01-16 17:04:12.633] <GnuGo>   (out) : captures
[2021-01-16 17:04:12.634] <GnuGo>   (out) : clear_board
[2021-01-16 17:04:12.635] <GnuGo>   (out) : clear_cache
[2021-01-16 17:04:12.635] <GnuGo>   (out) : color
[2021-01-16 17:04:12.635] <GnuGo>   (out) : combination_attack
[2021-01-16 17:04:12.636] <GnuGo>   (out) : combination_defend
[2021-01-16 17:04:12.636] <GnuGo>   (out) : connect
[2021-01-16 17:04:12.637] <GnuGo>   (out) : countlib
[2021-01-16 17:04:12.638] <GnuGo>   (out) : cputime
[2021-01-16 17:04:12.639] <GnuGo>   (out) : decrease_depths
[2021-01-16 17:04:12.639] <GnuGo>   (out) : defend
[2021-01-16 17:04:12.640] <GnuGo>   (out) : defend_both
[2021-01-16 17:04:12.641] <GnuGo>   (out) : disconnect
[2021-01-16 17:04:12.641] <GnuGo>   (out) : does_attack
[2021-01-16 17:04:12.642] <GnuGo>   (out) : does_defend
[2021-01-16 17:04:12.643] <GnuGo>   (out) : does_surround
[2021-01-16 17:04:12.643] <GnuGo>   (out) : dragon_data
[2021-01-16 17:04:12.645] <GnuGo>   (out) : dragon_status
[2021-01-16 17:04:12.645] <GnuGo>   (out) : dragon_stones
[2021-01-16 17:04:12.646] <GnuGo>   (out) : draw_search_area
[2021-01-16 17:04:12.646] <GnuGo>   (out) : dump_stack
[2021-01-16 17:04:12.647] <GnuGo>   (out) : echo
[2021-01-16 17:04:12.647] <GnuGo>   (out) : echo_err
[2021-01-16 17:04:12.647] <GnuGo>   (out) : estimate_score
[2021-01-16 17:04:12.648] <GnuGo>   (out) : eval_eye
[2021-01-16 17:04:12.648] <GnuGo>   (out) : experimental_score
[2021-01-16 17:04:12.649] <GnuGo>   (out) : eye_data
[2021-01-16 17:04:12.649] <GnuGo>   (out) : final_score
[2021-01-16 17:04:12.650] <GnuGo>   (out) : final_status
[2021-01-16 17:04:12.650] <GnuGo>   (out) : final_status_list
[2021-01-16 17:04:12.651] <GnuGo>   (out) : findlib
[2021-01-16 17:04:12.651] <GnuGo>   (out) : finish_sgftrace
[2021-01-16 17:04:12.652] <GnuGo>   (out) : fixed_handicap
[2021-01-16 17:04:12.653] <GnuGo>   (out) : followup_influence
[2021-01-16 17:04:12.654] <GnuGo>   (out) : genmove
[2021-01-16 17:04:12.654] <GnuGo>   (out) : genmove_black
[2021-01-16 17:04:12.655] <GnuGo>   (out) : genmove_white
[2021-01-16 17:04:12.657] <GnuGo>   (out) : get_connection_node_counter
[2021-01-16 17:04:12.659] <GnuGo>   (out) : get_handicap
[2021-01-16 17:04:12.660] <GnuGo>   (out) : get_komi
[2021-01-16 17:04:12.663] <GnuGo>   (out) : get_life_node_counter
[2021-01-16 17:04:12.666] <GnuGo>   (out) : get_owl_node_counter
[2021-01-16 17:04:12.668] <GnuGo>   (out) : get_random_seed
[2021-01-16 17:04:12.669] <GnuGo>   (out) : get_reading_node_counter
[2021-01-16 17:04:12.670] <GnuGo>   (out) : get_trymove_counter
[2021-01-16 17:04:12.671] <GnuGo>   (out) : gg-undo
[2021-01-16 17:04:12.672] <GnuGo>   (out) : gg_genmove
[2021-01-16 17:04:12.673] <GnuGo>   (out) : half_eye_data
[2021-01-16 17:04:12.675] <GnuGo>   (out) : help
[2021-01-16 17:04:12.676] <GnuGo>   (out) : increase_depths
[2021-01-16 17:04:12.676] <GnuGo>   (out) : initial_influence
[2021-01-16 17:04:12.677] <GnuGo>   (out) : is_legal
[2021-01-16 17:04:12.679] <GnuGo>   (out) : is_surrounded
[2021-01-16 17:04:12.682] <GnuGo>   (out) : kgs-genmove_cleanup
[2021-01-16 17:04:12.683] <GnuGo>   (out) : known_command
[2021-01-16 17:04:12.684] <GnuGo>   (out) : komi
[2021-01-16 17:04:12.685] <GnuGo>   (out) : ladder_attack
[2021-01-16 17:04:12.687] <GnuGo>   (out) : last_move
[2021-01-16 17:04:12.689] <GnuGo>   (out) : level
[2021-01-16 17:04:12.691] <GnuGo>   (out) : limit_search
[2021-01-16 17:04:12.692] <GnuGo>   (out) : list_commands
[2021-01-16 17:04:12.692] <GnuGo>   (out) : list_stones
[2021-01-16 17:04:12.716] <GnuGo>   (out) : loadsgf
[2021-01-16 17:04:12.717] <GnuGo>   (out) : move_influence
[2021-01-16 17:04:12.717] <GnuGo>   (out) : move_probabilities
[2021-01-16 17:04:12.718] <GnuGo>   (out) : move_reasons
[2021-01-16 17:04:12.718] <GnuGo>   (out) : move_uncertainty
[2021-01-16 17:04:12.719] <GnuGo>   (out) : move_history
[2021-01-16 17:04:12.720] <GnuGo>   (out) : name
[2021-01-16 17:04:12.721] <GnuGo>   (out) : new_score
[2021-01-16 17:04:12.722] <GnuGo>   (out) : orientation
[2021-01-16 17:04:12.723] <GnuGo>   (out) : owl_attack
[2021-01-16 17:04:12.753] <GnuGo>   (out) : owl_connection_defends
[2021-01-16 17:04:12.756] <GnuGo>   (out) : owl_defend
[2021-01-16 17:04:12.757] <GnuGo>   (out) : owl_does_attack
[2021-01-16 17:04:12.758] <GnuGo>   (out) : owl_does_defend
[2021-01-16 17:04:12.758] <GnuGo>   (out) : owl_substantial
[2021-01-16 17:04:12.759] <GnuGo>   (out) : owl_threaten_attack
[2021-01-16 17:04:12.759] <GnuGo>   (out) : owl_threaten_defense
[2021-01-16 17:04:12.760] <GnuGo>   (out) : place_free_handicap
[2021-01-16 17:04:12.769] <GnuGo>   (out) : play
[2021-01-16 17:04:12.788] <GnuGo>   (out) : popgo
[2021-01-16 17:04:12.802] <GnuGo>   (out) : printsgf
[2021-01-16 17:04:12.851] <GnuGo>   (out) : protocol_version
